day,sec,event,value
0,0,system on,
0,0,battery,
0.00
0,601,measurement,
0,601,battery,0.00
0,601,charging,0
0,1202,measurement,
0,1202,battery,0.00
0,1202,charging,0
0,1803,measurement,
0,1803,battery,0.00
0,1803,charging,0
0,2404,measurement,
0,2404,battery,0.00
0,2404,charging,0
0,3005,measurement,
0,3005,battery,0.00
0,3005,charging,0
0,3606,measurement,
0,3606,battery,0.00
0,3606,charging,0
0,4207,measurement,
0,4207,battery,0.00
0,4207,charging,0
0,4808,measurement,
0,4808,battery,0.00
0,4808,charging,0
0,5409,measurement,
0,5409,battery,0.00
0,5409,charging,0
0,6010,measurement,
0,6010,battery,0.00
0,6010,charging,0
0,6611,measurement,
0,6611,battery,0.00
0,6611,charging,0
0,7212,measurement,
0,7212,battery,0.00
0,7212,charging,0
0,7813,measurement,
0,7813,battery,0.00
0,7813,charging,0
0,8414,measurement,
0,8414,battery,0.00
0,8414,charging,0
0,9015,measurement,
0,9015,battery,0.00
0,9015,charging,0
0,9616,measurement,
0,9616,battery,0.00
0,9616,charging,0
0,10217,measurement,
0,10217,battery,0.00
0,10217,charging,0
0,10818,measurement,
0,10818,battery,0.00
0,10818,charging,0
0,11419,measurement,
0,11419,battery,0.00
0,11419,charging,0
0,12020,measurement,
0,12020,battery,0.00
0,12020,charging,0
0,12621,measurement,
0,12621,battery,0.00
0,12621,charging,0
0,13222,measurement,
0,13222,battery,0.00
0,13222,charging,0
0,13823,measurement,
0,13823,battery,0.00
0,13823,charging,0
0,14424,measurement,
0,14424,battery,0.00
0,14424,charging,0
0,15025,measurement,
0,15025,battery,0.00
0,15025,charging,0
0,15626,measurement,
0,15626,battery,0.00
0,15626,charging,0
0,16227,measurement,
0,16227,battery,0.00
0,16227,charging,0
0,16828,measurement,
0,16828,battery,0.00
0,16828,charging,0
0,17429,measurement,
0,17429,battery,0.00
0,17429,charging,0
0,18030,measurement,
0,18030,battery,0.00
0,18030,charging,0
0,18631,measurement,
0,18631,battery,0.00
0,18631,charging,0
0,19232,measurement,
0,19232,battery,0.00
0,19232,charging,0
0,19833,measurement,
0,19833,battery,0.00
0,19833,charging,0
0,20434,measurement,
0,20434,battery,0.00
0,20434,charging,0
0,21035,measurement,
0,21035,battery,0.00
0,21035,charging,0
0,21636,measurement,
0,21636,battery,0.00
0,21636,charging,0
0,22237,measurement,
0,22237,battery,0.00
0,22237,charging,0
0,22838,measurement,
0,22838,battery,0.00
0,22838,charging,0
0,23439,measurement,
0,23439,battery,0.00
0,23439,charging,0
0,24040,measurement,
0,24040,battery,0.00
0,24040,charging,0
0,24641,measurement,
0,24641,battery,0.00
0,24641,charging,0
0,25242,measurement,
0,25242,battery,0.00
0,25242,charging,0
0,25843,measurement,
0,25843,battery,0.00
0,25843,charging,0
0,26444,measurement,
0,26444,battery,0.00
0,26444,charging,0
0,27045,measurement,
0,27045,battery,0.00
0,27045,charging,0
0,27646,measurement,
0,27646,battery,0.00
0,27646,charging,0
0,28247,measurement,
0,28247,battery,0.00
0,28247,charging,0
0,28848,measurement,
0,28848,battery,0.00
0,28848,charging,0
0,29449,measurement,
0,29449,battery,0.00
0,29449,charging,0
0,30050,measurement,
0,30050,battery,0.00
0,30050,charging,0
0,30651,measurement,
0,30651,battery,0.00
0,30651,charging,0
0,31252,measurement,
0,31252,battery,0.00
0,31252,charging,0
0,31853,measurement,
0,31853,battery,0.00
0,31853,charging,0
0,32454,measurement,
0,32454,battery,0.00
0,32454,charging,0
0,33055,measurement,
0,33055,battery,0.00
0,33055,charging,0
0,33656,measurement,
0,33656,battery,0.00
0,33656,charging,0
0,34257,measurement,
0,34257,battery,0.00
0,34257,charging,0
0,34858,measurement,
0,34858,battery,0.00
0,34858,charging,0
0,35459,measurement,
0,35459,battery,0.00
0,35459,charging,0
0,36060,measurement,
0,36060,battery,0.00
0,36060,charging,0
0,36661,measurement,
0,36661,battery,0.00
0,36661,charging,0
0,37262,measurement,
0,37262,battery,0.00
0,37262,charging,0
0,37863,measurement,
0,37863,battery,0.00
0,37863,charging,0
0,38464,measurement,
0,38464,battery,0.00
0,38464,charging,0
0,39065,measurement,
0,39065,battery,0.00
0,39065,charging,0
0,39666,measurement,
0,39666,battery,0.00
0,39666,charging,0
0,40267,measurement,
0,40267,battery,0.00
0,40267,charging,0
0,40868,measurement,
0,40868,battery,0.00
0,40868,charging,0
0,41469,measurement,
0,41469,battery,0.00
0,41469,charging,0
0,42070,measurement,
0,42070,battery,0.00
0,42070,charging,0
0,42671,measurement,
0,42671,battery,0.00
0,42671,charging,0
0,43272,measurement,
0,43272,battery,0.00
0,43272,charging,0
0,43873,measurement,
0,43873,battery,0.00
0,43873,charging,0
0,44474,measurement,
0,44474,battery,0.00
0,44474,charging,0
0,45075,measurement,
0,45075,battery,0.00
0,45075,charging,0
0,45676,measurement,
0,45676,battery,0.00
0,45676,charging,0
0,46277,measurement,
0,46277,battery,0.00
0,46277,charging,0
0,46878,measurement,
0,46878,battery,0.00
0,46878,charging,0
0,47479,measurement,
0,47479,battery,0.00
0,47479,charging,0
0,48080,measurement,
0,48080,battery,0.00
0,48080,charging,0
0,48681,measurement,
0,48681,battery,0.00
0,48681,charging,0
0,49282,measurement,
0,49282,battery,0.00
0,49282,charging,0
0,49883,measurement,
0,49883,battery,0.00
0,49883,charging,0
0,50484,measurement,
0,50484,battery,0.00
0,50484,charging,0
0,51085,measurement,
0,51085,battery,0.00
0,51085,charging,0
0,51686,measurement,
0,51686,battery,0.00
0,51686,charging,0
0,52287,measurement,
0,52287,battery,0.00
0,52287,charging,0
0,52888,measurement,
0,52888,battery,0.00
0,52888,charging,0
0,53489,measurement,
0,53489,battery,0.00
0,53489,charging,0
0,54090,measurement,
0,54090,battery,0.00
0,54090,charging,0
0,54691,measurement,
0,54691,battery,0.00
0,54691,charging,0
0,55292,measurement,
0,55292,battery,0.00
0,55292,charging,0
0,55893,measurement,
0,55893,battery,0.00
0,55893,charging,0
0,56494,measurement,
0,56494,battery,0.00
0,56494,charging,0
0,57095,measurement,
0,57095,battery,0.00
0,57095,charging,0
0,57696,measurement,
0,57696,battery,0.00
0,57696,charging,0
0,58297,measurement,
0,58297,battery,0.00
0,58297,charging,0
0,58898,measurement,
0,58898,battery,0.00
0,58898,charging,0
0,59499,measurement,
0,59499,battery,0.00
0,59499,charging,0
0,60100,measurement,
0,60100,battery,0.00
0,60100,charging,0
0,60701,measurement,
0,60701,battery,0.00
0,60701,charging,0
0,61302,measurement,
0,61302,battery,0.00
0,61302,charging,0
0,61903,measurement,
0,61903,battery,0.00
0,61903,charging,0
0,62504,measurement,
0,62504,battery,0.00
0,62504,charging,0
0,63105,measurement,
0,63105,battery,0.00
0,63105,charging,0
0,63706,measurement,
0,63706,battery,0.00
0,63706,charging,0
0,64307,measurement,
0,64307,battery,0.00
0,64307,charging,0
0,64908,measurement,
0,64908,battery,0.00
0,64908,charging,0
0,65509,measurement,
0,65509,battery,0.00
0,65509,charging,0
0,66110,measurement,
0,66110,battery,0.00
0,66110,charging,0
0,66711,measurement,
0,66711,battery,0.00
0,66711,charging,0
0,67312,measurement,
0,67312,battery,0.00
0,67312,charging,0
0,67913,measurement,
0,67913,battery,0.00
0,67913,charging,0
0,68514,measurement,
0,68514,battery,0.00
0,68514,charging,0
0,69115,measurement,
0,69115,battery,0.00
0,69115,charging,0
0,69716,measurement,
0,69716,battery,0.00
0,69716,charging,0
0,70317,measurement,
0,70317,battery,0.00
0,70317,charging,0
0,70918,measurement,
0,70918,battery,0.00
0,70918,charging,0
0,71519,measurement,
0,71519,battery,0.00
0,71519,charging,0
0,72120,measurement,
0,72120,battery,0.00
0,72120,charging,0
0,72721,measurement,
0,72721,battery,0.00
0,72721,charging,0
0,73322,measurement,
0,73322,battery,0.00
0,73322,charging,0
0,73923,measurement,
0,73923,battery,0.00
0,73923,charging,0
0,74524,measurement,
0,74524,battery,0.00
0,74524,charging,0
0,75125,measurement,
0,75125,battery,0.00
0,75125,charging,0
0,75726,measurement,
0,75726,battery,0.00
0,75726,charging,0
0,76327,measurement,
0,76327,battery,0.00
0,76327,charging,0
0,76928,measurement,
0,76928,battery,0.00
0,76928,charging,0
0,77529,measurement,
0,77529,battery,0.00
0,77529,charging,0
0,78130,measurement,
0,78130,battery,0.00
0,78130,charging,0
0,78731,measurement,
0,78731,battery,0.00
0,78731,charging,0
0,79332,measurement,
0,79332,battery,0.00
0,79332,charging,0
0,79933,measurement,
0,79933,battery,0.00
0,79933,charging,0
0,80534,measurement,
0,80534,battery,0.00
0,80534,charging,0
