day,sec,event,value
0,0,system on,
0,0,battery,
4.10
0,901,measurement,
0,901,battery,4.10
0,901,charging,0
0,1802,measurement,
0,1802,battery,4.10
0,1802,charging,0
0,2703,measurement,
0,2703,battery,4.10
0,2703,charging,1
0,3604,measurement,
0,3604,battery,4.10
0,3604,charging,1
0,4505,measurement,
0,4505,battery,4.11
0,4505,charging,1
0,5406,measurement,
0,5406,battery,4.09
0,5406,charging,1
0,6307,measurement,
0,6307,battery,4.10
0,6307,charging,1
0,7208,measurement,
0,7208,battery,4.10
0,7208,charging,1
0,8109,measurement,
0,8109,battery,4.10
0,8109,charging,1
0,9010,measurement,
0,9010,battery,4.09
0,9010,charging,1
0,9911,measurement,
0,9911,battery,4.09
0,9911,charging,1
0,10812,measurement,
0,10812,battery,4.09
0,10812,charging,1
0,11713,measurement,
0,11713,battery,4.09
0,11713,charging,1
0,12614,measurement,
0,12614,battery,4.08
0,12614,charging,1
0,13515,measurement,
0,13515,battery,4.08
0,13515,charging,1
0,14416,measurement,
0,14416,battery,4.08
0,14416,charging,1
0,15317,measurement,
0,15317,battery,4.08
0,15317,charging,0
0,16218,measurement,
0,16218,battery,4.08
0,16218,charging,1
0,17119,measurement,
0,17119,battery,4.07
0,17119,charging,1
0,18020,measurement,
0,18020,battery,4.07
0,18020,charging,1
0,18921,measurement,
0,18921,battery,4.07
0,18921,charging,1
0,19822,measurement,
0,19822,battery,4.07
0,19822,charging,1
0,20723,measurement,
0,20723,battery,4.07
0,20723,charging,1
0,21624,measurement,
0,21624,battery,4.07
0,21624,charging,1
0,22525,measurement,
0,22525,battery,4.06
0,22525,charging,1
0,23426,measurement,
0,23426,battery,4.06
0,23426,charging,0
0,24327,measurement,
0,24327,battery,4.06
0,24327,charging,0
0,25228,measurement,
0,25228,battery,4.06
0,25228,charging,0
0,26129,measurement,
0,26129,battery,4.06
0,26129,charging,0
0,27030,measurement,
0,27030,battery,4.06
0,27030,charging,0
0,27931,measurement,
0,27931,battery,4.05
0,27931,charging,0
0,28832,measurement,
0,28832,battery,4.05
0,28832,charging,0
0,29733,measurement,
0,29733,battery,4.05
0,29733,charging,0
0,30634,measurement,
0,30634,battery,4.05
0,30634,charging,0
0,31535,measurement,
0,31535,battery,4.05
0,31535,charging,0
0,32436,measurement,
0,32436,battery,4.05
0,32436,charging,0
0,33337,measurement,
0,33337,battery,4.05
0,33337,charging,0
0,34238,measurement,
0,34238,battery,4.04
0,34238,charging,0
0,35139,measurement,
0,35139,battery,4.05
0,35139,charging,0
0,36040,measurement,
0,36040,battery,4.05
0,36040,charging,0
0,36941,measurement,
0,36941,battery,4.04
0,36941,charging,0
0,37842,measurement,
0,37842,battery,4.04
0,37842,charging,0
0,38743,measurement,
0,38743,battery,4.04
0,38743,charging,0
0,39644,measurement,
0,39644,battery,4.04
0,39644,charging,0
0,40545,measurement,
0,40545,battery,4.04
0,40545,charging,0
0,41446,measurement,
0,41446,battery,4.04
0,41446,charging,0
0,42347,measurement,
0,42347,battery,4.04
0,42347,charging,0
0,43248,measurement,
0,43248,battery,4.04
0,43248,charging,0
0,44149,measurement,
0,44149,battery,4.04
0,44149,charging,0
0,45050,measurement,
0,45050,battery,4.04
0,45050,charging,0
0,45951,measurement,
0,45951,battery,4.04
0,45951,charging,0
0,46852,measurement,
0,46852,battery,4.04
0,46852,charging,0
0,47753,measurement,
0,47753,battery,4.04
0,47753,charging,0
0,48654,measurement,
0,48654,battery,4.04
0,48654,charging,0
0,49555,measurement,
0,49555,battery,4.04
0,49555,charging,0
0,50456,measurement,
0,50456,battery,4.04
0,50456,charging,0
0,51357,measurement,
0,51357,battery,4.04
0,51357,charging,0
0,52258,measurement,
0,52258,battery,4.03
0,52258,charging,0
0,53159,measurement,
0,53159,battery,4.04
0,53159,charging,0
0,54060,measurement,
0,54060,battery,4.03
0,54060,charging,0
0,54961,measurement,
0,54961,battery,4.03
0,54961,charging,0
0,55862,measurement,
0,55862,battery,4.03
0,55862,charging,0
0,56763,measurement,
0,56763,battery,4.03
0,56763,charging,0
0,57664,measurement,
0,57664,battery,4.03
0,57664,charging,0
0,58565,measurement,
0,58565,battery,4.03
0,58565,charging,0
0,59466,measurement,
0,59466,battery,4.03
0,59466,charging,0
0,60367,measurement,
0,60367,battery,4.03
0,60367,charging,0
0,61268,measurement,
0,61268,battery,4.03
0,61268,charging,0
0,62169,measurement,
0,62169,battery,4.03
0,62169,charging,0
0,63070,measurement,
0,63070,battery,4.03
0,63070,charging,0
0,63971,measurement,
0,63971,battery,4.03
0,63971,charging,0
0,64872,measurement,
0,64872,battery,4.03
0,64872,charging,0
0,65773,measurement,
0,65773,battery,4.03
0,65773,charging,0
0,66674,measurement,
0,66674,battery,4.02
0,66674,charging,0
0,67575,measurement,
0,67575,battery,4.03
0,67575,charging,1
0,68476,measurement,
0,68476,battery,4.02
0,68476,charging,1
0,69377,measurement,
0,69377,battery,4.02
0,69377,charging,1
0,70278,measurement,
0,70278,battery,4.03
0,70278,charging,1
0,71179,measurement,
0,71179,battery,4.02
0,71179,charging,1
0,72080,measurement,
0,72080,battery,4.02
0,72080,charging,1
0,72981,measurement,
0,72981,battery,4.02
0,72981,charging,1
0,73882,measurement,
0,73882,battery,4.03
0,73882,charging,1
0,74783,measurement,
0,74783,battery,4.03
0,74783,charging,1
0,75684,measurement,
0,75684,battery,4.02
0,75684,charging,1
0,76585,measurement,
0,76585,battery,4.02
0,76585,charging,1
0,77486,measurement,
0,77486,battery,4.02
0,77486,charging,1
0,78387,measurement,
0,78387,battery,4.03
0,78387,charging,1
0,79288,measurement,
0,79288,battery,4.03
0,79288,charging,0
0,80189,measurement,
0,80189,battery,4.03
0,80189,charging,1
0,81090,measurement,
0,81090,battery,4.03
0,81090,charging,1
0,81991,measurement,
0,81991,battery,4.03
0,81991,charging,1
0,82892,measurement,
0,82892,battery,4.03
0,82892,charging,1
0,83793,measurement,
0,83793,battery,4.03
0,83793,charging,1
0,84694,measurement,
0,84694,battery,4.03
0,84694,charging,1
0,85595,measurement,
0,85595,battery,4.03
0,85595,charging,1
1,0,measurement,
1,0,battery,4.03
1,0,charging,1
1,901,measurement,
1,901,battery,4.03
1,901,charging,1
1,1802,measurement,
1,1802,battery,4.03
1,1802,charging,1
1,2703,measurement,
1,2703,battery,4.03
1,2703,charging,1
1,3604,measurement,
1,3604,battery,4.03
1,3604,charging,1
1,4505,measurement,
1,4505,battery,4.03
1,4505,charging,1
1,5406,measurement,
1,5406,battery,4.03
1,5406,charging,1
1,6307,measurement,
1,6307,battery,4.03
1,6307,charging,1
1,7208,measurement,
1,7208,battery,4.03
1,7208,charging,1
1,8109,measurement,
1,8109,battery,4.03
1,8109,charging,1
1,9010,measurement,
1,9010,battery,4.02
1,9010,charging,1
1,9911,measurement,
1,9911,battery,4.02
1,9911,charging,1
1,10812,measurement,
1,10812,battery,4.02
1,10812,charging,1
1,11713,measurement,
1,11713,battery,4.02
1,11713,charging,1
1,12614,measurement,
1,12614,battery,4.02
1,12614,charging,1
1,13515,measurement,
1,13515,battery,4.02
1,13515,charging,1
1,14416,measurement,
1,14416,battery,4.01
1,14416,charging,1
1,15317,measurement,
1,15317,battery,4.01
1,15317,charging,1
1,16218,measurement,
1,16218,battery,4.01
1,16218,charging,1
1,17119,measurement,
1,17119,battery,4.01
1,17119,charging,1
1,18020,measurement,
1,18020,battery,4.01
1,18020,charging,1
1,18921,measurement,
1,18921,battery,4.00
1,18921,charging,0
1,19822,measurement,
1,19822,battery,4.00
1,19822,charging,1
1,20723,measurement,
1,20723,battery,4.00
1,20723,charging,0
1,21624,measurement,
1,21624,battery,4.00
1,21624,charging,0
1,22525,measurement,
1,22525,battery,4.00
1,22525,charging,0
1,23426,measurement,
1,23426,battery,4.00
1,23426,charging,0
1,24327,measurement,
1,24327,battery,3.99
1,24327,charging,0
1,25228,measurement,
1,25228,battery,3.99
1,25228,charging,0
1,26129,measurement,
1,26129,battery,3.99
1,26129,charging,0
1,27030,measurement,
1,27030,battery,3.99
1,27030,charging,0
1,27931,measurement,
1,27931,battery,3.99
1,27931,charging,0
1,28832,measurement,
1,28832,battery,3.98
1,28832,charging,0
1,29733,measurement,
1,29733,battery,3.98
1,29733,charging,0
1,30634,measurement,
1,30634,battery,3.98
1,30634,charging,0
1,31535,measurement,
1,31535,battery,3.98
1,31535,charging,0
1,32436,measurement,
1,32436,battery,3.98
1,32436,charging,0
1,33337,measurement,
1,33337,battery,3.98
1,33337,charging,0
1,34238,measurement,
1,34238,battery,3.97
1,34238,charging,0
1,35139,measurement,
1,35139,battery,3.97
1,35139,charging,0
1,36040,measurement,
1,36040,battery,3.97
1,36040,charging,0
1,36941,measurement,
1,36941,battery,3.97
1,36941,charging,0
1,37842,measurement,
