Date,ID,Event,Value,Value2
2023-04-11T09:00:00,1,r,1,
2023-04-11T13:30:00,1,i,2,top
2023-04-12T17:30:00,3,f,,
2023-04-13T10:00:00,2,r,1,
2023-04-13T18:00:00,2,i,2,bottom
2023-04-13T10:00:00,3,r,1,
2023-04-13T18:00:00,3,i,2,top
2023-04-13T10:00:00,4,r,1,
2023-04-13T18:00:00,4,i,7,top
2023-04-13T10:00:00,5,r,1,
2023-04-13T18:00:00,5,i,7,bottom
2023-04-16T21:00:00,3,f,,
2023-04-17T08:20:00,4,c,,
2023-04-17T08:20:00,1,c,,
2023-04-20T09:00:00,3,i,2,top
2023-04-26T14:00:00,4,f,,
2023-04-27T08:00:00,1,r,2,
2023-04-27T08:00:00,2,r,2,
2023-04-27T08:00:00,3,r,2,
2023-04-27T11:00:00,1,i,1,top
2023-04-27T11:00:00,2,i,1,top
2023-04-27T11:00:00,3,i,1,top
2023-04-27T15:00:00,4,i,7,top
2023-05-11T11:00:00,4,i,1,top
2023-05-11T11:00:00,5,i,1,top
2023-05-18T09:00:00,1,r,1,
2023-05-18T09:00:00,2,r,1,
2023-05-18T09:00:00,3,r,1,
2023-05-18T09:00:00,4,r,1,
2023-05-18T09:00:00,5,r,1,
2023-05-19T17:00:00,1,i,3,top
2023-05-19T17:00:00,2,i,3,top
2023-05-19T17:00:00,3,i,3,top
2023-05-19T17:00:00,4,i,3,top
2023-05-19T17:00:00,5,i,3,top
2023-05-24T22:00:00,0,f,,power failure
2023-06-05T22:00:00,0,f,,clumping
2023-06-29T09:00:00,1,r,3,
2023-06-29T09:00:00,2,r,3,
2023-06-29T09:00:00,3,r,3,
2023-06-29T09:00:00,4,r,3,
2023-06-29T09:00:00,5,r,3,
2023-06-29T12:00:00,1,i,6,bottom
2023-06-29T12:00:00,2,i,6,bottom
2023-06-29T12:00:00,3,i,6,bottom
2023-06-29T12:00:00,4,i,6,bottom
2023-06-29T12:00:00,5,i,6,bottom
2023-08-10T09:00:00,1,r,6,
2023-08-10T09:00:00,2,r,6,
2023-08-10T09:00:00,3,r,6,
2023-08-10T09:00:00,4,r,6,
2023-08-10T09:00:00,5,r,6,
2023-08-10T12:00:00,1,i,5,bottom
2023-08-10T12:00:00,2,i,5,bottom
2023-08-10T12:00:00,3,i,5,bottom
2023-08-10T12:00:00,5,i,5,bottom
2023-08-10T18:00:00,4,i,5,bottom
2023-08-22T00:00:00,0,f,,power failure
